invoice_id,subscription_id,invoice_date,amount,currency,status
I000001,S00001,2024-10-20,29.00,EUR,failed
I000002,S00001,2024-11-20,29.00,EUR,paid
I000003,S00001,2024-12-20,29.00,EUR,paid
I000004,S00001,2025-01-20,29.00,EUR,paid
I000005,S00001,2025-02-20,29.00,EUR,paid
I000006,S00001,2025-03-20,29.00,EUR,paid
I000007,S00001,2025-04-20,29.00,EUR,open
I000008,S00001,2025-05-20,29.00,EUR,paid
I000009,S00001,2025-06-20,29.00,EUR,paid
I000010,S00001,2025-07-20,29.00,EUR,paid
I000011,S00001,2025-08-20,29.00,EUR,paid
I000012,S00001,2025-09-20,29.00,EUR,paid
I000013,S00001,2025-10-20,29.00,EUR,paid
I000014,S00001,2025-11-20,29.00,EUR,paid
I000015,S00001,2025-12-20,29.00,EUR,paid
I000016,S00001,2026-01-20,29.00,EUR,failed
I000017,S00001,2026-02-20,29.00,EUR,paid
I000018,S00001,2026-03-20,29.00,EUR,paid
I000019,S00001,2026-04-20,29.00,EUR,paid
I000020,S00001,2026-05-20,29.00,EUR,paid
I000021,S00001,2026-06-20,29.00,EUR,paid
I000022,S00001,2026-07-20,29.00,EUR,open
I000023,S00002,2024-04-01,29.00,EUR,paid
I000024,S00002,2024-05-01,29.00,EUR,paid
I000025,S00002,2024-06-01,29.00,EUR,paid
I000026,S00002,2024-07-01,29.00,EUR,paid
I000027,S00002,2024-08-01,29.00,EUR,paid
I000028,S00002,2024-09-01,29.00,EUR,paid
I000029,S00002,2024-10-01,29.00,EUR,paid
I000030,S00002,2024-11-01,29.00,EUR,paid
I000031,S00002,2024-12-01,29.00,EUR,paid
I000032,S00002,2025-01-01,29.00,EUR,paid
I000033,S00002,2025-02-01,29.00,EUR,paid
I000034,S00002,2025-03-01,29.00,EUR,paid
I000035,S00002,2025-04-01,29.00,EUR,paid
I000036,S00002,2025-05-01,29.00,EUR,paid
I000037,S00002,2025-06-01,29.00,EUR,open
I000038,S00002,2025-07-01,29.00,EUR,paid
I000039,S00002,2025-08-01,29.00,EUR,paid
I000040,S00002,2025-09-01,29.00,EUR,paid
I000041,S00002,2025-10-01,29.00,EUR,paid
I000042,S00002,2025-11-01,29.00,EUR,paid
I000043,S00002,2025-12-01,29.00,EUR,paid
I000044,S00002,2026-01-01,29.00,EUR,paid
I000045,S00002,2026-02-01,29.00,EUR,paid
I000046,S00002,2026-03-01,29.00,EUR,paid
I000047,S00002,2026-04-01,29.00,EUR,paid
I000048,S00002,2026-05-01,29.00,EUR,paid
I000049,S00002,2026-06-01,29.00,EUR,paid
I000050,S00002,2026-07-01,29.00,EUR,paid
I000051,S00003,2024-02-29,29.00,EUR,paid
I000052,S00003,2024-03-29,29.00,EUR,open
I000053,S00003,2024-04-29,29.00,EUR,paid
I000054,S00003,2024-05-29,29.00,EUR,failed
I000055,S00003,2024-06-29,29.00,EUR,paid
I000056,S00003,2024-07-29,29.00,EUR,paid
I000057,S00003,2024-08-29,29.00,EUR,paid
I000058,S00003,2024-09-29,29.00,EUR,paid
I000059,S00003,2024-10-29,29.00,EUR,paid
I000060,S00003,2024-11-29,29.00,EUR,paid
I000061,S00003,2024-12-29,29.00,EUR,paid
I000062,S00003,2025-01-29,29.00,EUR,paid
I000063,S00003,2025-02-28,29.00,EUR,paid
I000064,S00003,2025-03-28,29.00,EUR,paid
I000065,S00003,2025-04-28,29.00,EUR,paid
I000066,S00003,2025-05-28,29.00,EUR,paid
I000067,S00003,2025-06-28,29.00,EUR,paid
