subscription_id,customer_id,plan_name,monthly_price,start_date,end_date,status
S00001,C0001,starter,29.0,2024-10-20,,active
S00002,C0002,starter,29.0,2024-04-01,,active
S00003,C0003,starter,29.0,2024-02-29,,active
S00004,C0004,scale,299.0,2025-07-15,,active
S00005,C0005,scale,299.0,2024-09-04,,active
S00006,C0006,starter,29.0,2025-05-23,,active
S00007,C0006,scale,299.0,2025-11-07,,active
S00008,C0007,starter,29.0,2024-07-11,,active
S00009,C0008,scale,299.0,2024-07-16,,active
S00010,C0009,scale,299.0,2024-05-26,2025-03-10,cancelled
S00011,C9999,scale,299.0,2025-01-08,2025-10-08,cancelled
S00012,C0010,starter,29.0,2025-02-09,2025-12-02,cancelled
S00013,C0011,growth,99.0,2025-05-13,,active
S00014,C0012,growth,99.0,2024-04-10,2024-06-20,cancelled
S00015,C0013,growth,99.0,2025-02-18,,active
S00016,C0014,growth,99.0,2024-03-08,,active
S00017,C0015,growth,99.0,2024-09-19,,paused
S00018,C0016,starter,29.0,2025-06-02,2026-04-22,cancelled
S00019,C0016,growth,99.0,2025-12-06,,paused
S00020,C0016,growth,99.0,2026-07-14,2027-03-15,cancelled
S00021,C0017,scale,299.0,2025-02-18,2025-07-10,cancelled
S00022,C0017,starter,29.0,2025-10-07,,active
S00023,C0018,scale,299.0,2024-08-06,2025-09-10,cancelled
S00024,C0019,starter,29.0,2025-05-27,,active
S00025,C0019,scale,299.0,2026-01-08,2026-03-21,cancelled
S00026,C0020,growth,99.0,2024-08-23,,ACTIVE
S00027,C0021,growth,99.0,2024-02-22,,active
S00028,C0022,growth,99.0,2024-03-24,2024-12-19,cancelled
S00029,C0023,starter,29.0,2024-10-04,,active
S00030,C0023,starter,29.0,2025-08-05,,paused
S00031,C0024,starter,29.0,2024-06-07,2025-05-21,cancelled
S00032,C0024,starter,29.0,2024-10-22,,active
S00033,C0025,starter,29.0,2024-10-25,2025-05-31,cancelled
S00034,C0026,scale,299.0,2025-03-29,2025-03-19,cancelled
S00035,C0027,growth,99.0,2025-06-11,,active
S00036,C0028,growth,99.0,2024-05-17,,paused
S00037,C0029,scale,299.0,2024-04-28,2024-07-19,cancelled
S00038,C0030,scale,299.0,2025-06-01,2026-04-16,cancelled
S00039,C0030,starter,29.0,2026-04-09,,active
S00040,C0031,scale,299.0,2024-02-22,,active
S00041,C0032,starter,29.0,2025-01-10,,paused
S00042,C0032,growth,99.0,2025-11-03,,active
S00043,C0033,scale,299.0,2024-06-27,2025-04-28,cancelled
S00044,C0033,growth,99.0,2025-05-10,,active
S00045,C0034,growth,99.0,2025-07-20,,active
S00046,C0035,growth,99.0,2024-11-16,2025-10-03,cancelled
S00047,C0036,growth,99.0,2024-06-06,,active
S00048,C0037,starter,-99.00,2024-01-23,2024-08-14,cancelled
S00049,C0038,scale,299.0,2024-03-16,,active
S00050,C0038,scale,299.0,2024-08-15,,active
S00051,C0039,growth,99.0,2024-10-07,2025-10-25,cancelled
S00052,C0039,scale,299.0,2025-06-20,,active
S00053,C0040,growth,99.0,2024-04-04,,active
S00054,C0041,scale,299.0,2024-06-24,,active
S00055,C0042,scale,299.0,2024-07-23,,active
